kunden_nr;anrede;vorname;nachname;strasse;plz;ort;telefon;email;angelegt_am
73;Herr;Leon;Lehmann;Hauptstr. 59;35501;Oberstadt;06450-31438;lehmann.l@web.de;2021-01-02
74;Herr;Felix;Albrecht;Sonnenwall 53;35500;Juckstadt;06450-6371;albrecht.f@gmx.de;2022-05-01
75;Frau;Claudia;Neumann;Kapellenweg 18;35500;Juckstadt;06450-93868;neumann.c@email.de;2020-10-03
76;Frau;Claudia;Richter;Lindenallee 71;35500;Juckstadt;06450-64743;richter.c@gmx.de;2023-12-04
77;Herr;Yannick;Hoffmann;Dorfstr. 38;35500;Juckstadt;06450-038638;hoffmann.y@email.de;2025-02-06
78;Frau;Carolin;Mueller;Rosenweg 9;35500;Juckstadt;06450-24337;mueller.c@email.de;2022-05-25
79;Frau;Stefanie;Schneider;Goethestr. 21;35500;Juckstadt;06450-97255;schneider.s@web.de;2019-07-11
80;Frau;Maria;Meyer;Bergstr. 5;35501;Oberstadt;06450-002840;meyer.m@email.de;2021-01-20
81;Herr;Igor;Schmitt;Feldweg 38;35501;Oberstadt;06450-4479;;2022-10-17
82;Herr;Erik;Albrecht;Dorfstr. 20;35501;Oberstadt;06450-302860;albrecht.e@t-online.de;2019-01-25
83;Herr;Igor;Lehmann;Pfarrgasse 48;35500;Juckstadt;06450-3766;lehmann.i@email.de;2022-06-11
84;Herr;Stefan;Becker;Talstr. 71;35501;Oberstadt;06450-1433;;2021-05-13
85;Herr;Zacharias;Mueller;Hauptstr. 93;35500;Juckstadt;06450-26827;mueller.z@t-online.de;2024-05-23
86;Frau;Lisa;Fischer;Hauptstr. 47;35500;Juckstadt;06450-533582;fischer.l@email.de;2023-03-31
87;Frau;Gisela;Hofmann;Ahornweg 15;35501;Oberstadt;06450-12119;hofmann.g@email.de;2021-09-03
88;Herr;Manuel;Mueller;Wiesenweg 8;35500;Juckstadt;06450-1867;mueller.m@web.de;2022-10-08
89;Herr;Jens;Hoffmann;Tulpenstr. 74;35501;Oberstadt;06450-6901;hoffmann.j@t-online.de;2021-04-07
90;Herr;Viktor;Schmid;Ahornweg 33;35501;Oberstadt;06450-31059;schmid.v@gmx.de;2019-11-23
91;Frau;Franziska;Krueger;Schillerstr. 10;35501;Oberstadt;06450-47316;krueger.f@web.de;2020-01-07
92;Herr;Christian;Peters;Rosenweg 32;35500;Juckstadt;06450-121289;peters.c@gmx.de;2020-09-07
93;Herr;Felix;Lehmann;Goethestr. 45;35500;Juckstadt;06450-3569;lehmann.f@gmx.de;2025-04-05
94;Frau;Maria;Vogel;Feldweg 73;35500;Juckstadt;06450-5782;vogel.m@email.de;2019-03-07
95;Herr;Florian;Krueger;Schillerstr. 52;35501;Oberstadt;06450-44089;krueger.f@web.de;2023-09-27
96;Herr;Xaver;Koch;Ahornweg 38;35500;Juckstadt;06450-98376;koch.x@gmx.de;2024-06-16
97;Frau;Gisela;Vogel;Goethestr. 39;35500;Juckstadt;06450-5519;vogel.g@email.de;2019-12-06
98;Frau;Quirina;Schmid;Bergstr. 86;35500;Juckstadt;06450-256076;schmid.q@t-online.de;2024-03-11
99;Frau;Rita;Becker;Tulpenstr. 26;35500;Juckstadt;06450-7890;;2019-03-18
100;Herr;Xaver;Braun;Kirchstr. 60;35501;Oberstadt;06450-1817;braun.x@t-online.de;2019-01-07
101;Frau;Lea;Lange;Wiesenweg 49;35501;Oberstadt;06450-782699;lange.l@email.de;2019-07-25
102;Herr;Viktor;Krueger;Hauptstr. 34;35501;Oberstadt;06450-63698;krueger.v@email.de;2022-12-21
103;Frau;Lea;Zimmermann;Kirchstr. 48;35500;Juckstadt;06450-18282;zimmermann.l@email.de;2022-12-03
104;Herr;Manuel;Fischer;Beethovenstr. 38;35500;Juckstadt;06450-1577;fischer.m@t-online.de;2021-03-28
105;Herr;Xaver;Schwarz;Schillerstr. 79;35501;Oberstadt;06450-80017;schwarz.x@t-online.de;2019-12-01
106;Frau;Carolin;Krause;Goethestr. 46;35501;Oberstadt;06450-7289;krause.c@t-online.de;2022-06-12
107;Herr;Georg;Meyer;Bergstr. 84;35500;Juckstadt;06450-0619;meyer.g@t-online.de;2021-12-05
108;Frau;Verena;Hartmann;Gartenstr. 84;35500;Juckstadt;06450-15929;hartmann.v@web.de;2023-01-05
109;Herr;Felix;Schulze;Beethovenstr. 70;35501;Oberstadt;06450-84744;schulze.f@web.de;2024-09-22
110;Frau;Anna;Hoffmann;Schlossstr. 57;35501;Oberstadt;06450-7140;hoffmann.a@gmx.de;2022-02-20
111;Herr;Martin;Schneider;Hauptstr. 96;35501;Oberstadt;06450-036439;schneider.m@email.de;2020-05-14
112;Frau;Olivia;Schaefer;Auweg 1;35500;Juckstadt;06450-827110;schaefer.o@gmx.de;2019-06-09
113;Herr;Andreas;Stein;Gartenstr. 26;35500;Juckstadt;06450-301981;stein.a@web.de;2019-11-07
114;Frau;Bettina;Schmid;Kapellenweg 97;35501;Oberstadt;06450-15264;schmid.b@email.de;2024-01-29
115;Herr;Tobias;Frank;Marktplatz 58;35500;Juckstadt;06450-91611;frank.t@gmx.de;2019-07-19
116;Herr;Oliver;Fischer;Eichenweg 77;35500;Juckstadt;06450-3328;fischer.o@t-online.de;2024-05-19
117;Herr;Florian;Kaiser;Feldweg 97;35501;Oberstadt;06450-0935;kaiser.f@gmx.de;2021-01-26
118;Frau;Ines;Kaiser;Mondbach 72;35501;Oberstadt;06450-9140;kaiser.i@email.de;2022-11-12
119;Frau;Sabine;Frank;Bergstr. 2;35501;Oberstadt;06450-2928;frank.s@t-online.de;2023-05-15
120;Frau;Xenia;Schroeder;Gartenstr. 71;35500;Juckstadt;06450-18869;schroeder.x@email.de;2023-08-26
121;Frau;Petra;Schmid;Ahornweg 47;35501;Oberstadt;06450-876373;schmid.p@web.de;2020-04-04
122;Herr;Erik;Hoffmann;Feldweg 10;35500;Juckstadt;06450-6837;hoffmann.e@email.de;2020-08-05
123;Herr;Felix;Mueller;Sonnenwall 48;35500;Juckstadt;06450-986294;mueller.f@web.de;2022-05-29
124;Frau;Julia;Krueger;Bergstr. 84;35501;Oberstadt;06450-4495;krueger.j@gmx.de;2022-06-16
125;Herr;Oliver;Klein;Lindenallee 51;35500;Juckstadt;06450-2895;klein.o@web.de;2019-10-22
126;Frau;Sabine;Hofmann;Feldweg 27;35500;Juckstadt;06450-206309;;2024-10-28
127;Frau;Nora;Schulze;Gartenstr. 16;35500;Juckstadt;06450-850748;schulze.n@t-online.de;2020-01-27
128;Frau;Hannah;Stein;Dorfstr. 38;35501;Oberstadt;06450-3330;;2019-10-02
129;Herr;Niklas;Schroeder;Am Markt 27;35501;Oberstadt;06450-991035;schroeder.n@gmx.de;2021-08-28
130;Frau;Julia;Schroeder;Dorfstr. 22;35501;Oberstadt;06450-195985;schroeder.j@gmx.de;2019-08-05
131;Herr;Zacharias;Lehmann;Mozartstr. 5;35501;Oberstadt;06450-545395;lehmann.z@email.de;2024-10-27
132;Frau;Ute;Wolf;Parkstr. 74;35500;Juckstadt;06450-202170;wolf.u@gmx.de;2019-06-12
133;Frau;Lisa;Peters;Kapellenweg 93;35500;Juckstadt;06450-08381;peters.l@t-online.de;2019-08-06
134;Frau;Ute;Neumann;Rosenweg 90;35500;Juckstadt;06450-029112;neumann.u@t-online.de;2025-02-18
135;Frau;Stefanie;Fischer;Kirchstr. 75;35501;Oberstadt;06450-45898;fischer.s@gmx.de;2023-12-15
136;Frau;Zoey;Stein;Talstr. 30;35501;Oberstadt;06450-70170;stein.z@web.de;2022-10-24
137;Herr;Erik;Becker;Ahornweg 49;35501;Oberstadt;06450-7514;becker.e@web.de;2025-02-14
138;Herr;Tobias;Schneider;Gartenstr. 99;35501;Oberstadt;06450-497297;schneider.t@t-online.de;2025-03-25
139;Frau;Nora;Wolf;Gartenstr. 45;35500;Juckstadt;06450-26046;wolf.n@email.de;2023-01-29
140;Frau;Nora;Wagner;Bergstr. 44;35501;Oberstadt;06450-934022;wagner.n@web.de;2025-03-23
141;Frau;Petra;Klein;Lindenallee 52;35501;Oberstadt;06450-71456;;2022-01-08
142;Herr;Lukas;Bauer;Parkstr. 43;35501;Oberstadt;06450-82449;bauer.l@web.de;2020-07-15
143;Herr;Daniel;Koch;Rosenweg 27;35501;Oberstadt;06450-661060;koch.d@t-online.de;2019-11-29
144;Frau;Nora;Braun;Schillerstr. 88;35500;Juckstadt;06450-8377;braun.n@gmx.de;2019-04-17
145;Herr;Florian;Hofmann;Mozartstr. 11;35501;Oberstadt;06450-43333;hofmann.f@gmx.de;2019-10-01
146;Herr;Karl;Roth;Schulstr. 4;35501;Oberstadt;06450-507419;roth.k@gmx.de;2024-01-16
147;Herr;Stefan;Klein;Bahnhofstr. 84;35501;Oberstadt;06450-65661;klein.s@email.de;2019-10-12
148;Herr;Erik;Schmid;Brunnenstr. 58;35500;Juckstadt;06450-504979;schmid.e@web.de;2024-10-25
149;Frau;Zoey;Schroeder;Bahnhofstr. 83;35501;Oberstadt;06450-9785;schroeder.z@gmx.de;2021-08-06
150;Herr;Hannes;Meyer;Gartenstr. 24;35501;Oberstadt;06450-495628;meyer.h@web.de;2024-09-22
151;Herr;Paul;Krause;Bergstr. 27;35500;Juckstadt;06450-77525;krause.p@gmx.de;2023-08-19
152;Herr;Manuel;Stein;Schillerstr. 61;35500;Juckstadt;06450-510820;stein.m@gmx.de;2020-04-02
153;Frau;Verena;Schaefer;Ahornweg 36;35500;Juckstadt;06450-6715;schaefer.v@t-online.de;2022-02-28
154;Herr;Erik;Kaiser;Buchenweg 37;35501;Oberstadt;06450-5942;kaiser.e@web.de;2025-02-06
155;Frau;Petra;Schmidt;Feldweg 60;35500;Juckstadt;06450-9245;schmidt.p@gmx.de;2019-09-19
156;Frau;Julia;Peters;Rosenweg 36;35500;Juckstadt;06450-8168;peters.j@t-online.de;2024-04-04
157;Frau;Tanja;Neumann;Bergstr. 83;35500;Juckstadt;06450-24623;neumann.t@gmx.de;2021-10-20
158;Herr;Martin;Bauer;Feldweg 52;35501;Oberstadt;06450-6965;bauer.m@t-online.de;2020-07-25
159;Herr;Karl;Zimmermann;Hauptstr. 35;35500;Juckstadt;06450-1046;zimmermann.k@gmx.de;2022-03-20
160;Herr;Florian;Neumann;Parkstr. 42;35500;Juckstadt;06450-57267;;2024-02-26
161;Herr;Florian;Kaiser;Eichenweg 42;35501;Oberstadt;06450-351475;kaiser.f@email.de;2021-11-02
162;Frau;Wiebke;Meyer;Marktplatz 61;35501;Oberstadt;06450-56207;;2023-06-26
163;Herr;Stefan;Schmid;Eichenweg 1;35501;Oberstadt;06450-8554;schmid.s@gmx.de;2023-02-03
164;Herr;Lukas;Schwarz;Eichenweg 98;35500;Juckstadt;06450-51573;schwarz.l@gmx.de;2022-02-03
165;Frau;Ines;Neumann;Kirchstr. 79;35501;Oberstadt;06450-0144;neumann.i@email.de;2019-03-01
166;Herr;Martin;Lange;Auweg 56;35500;Juckstadt;06450-81619;lange.m@email.de;2020-08-15
167;Herr;Hannes;Mueller;Wiesenweg 10;35501;Oberstadt;06450-906987;mueller.h@web.de;2020-04-18
168;Frau;Hannah;Peters;Pfarrgasse 88;35501;Oberstadt;06450-24327;peters.h@t-online.de;2021-02-19
169;Herr;Karl;Neumann;Sonnenwall 58;35500;Juckstadt;06450-3585;neumann.k@t-online.de;2024-05-31
170;Frau;Zoey;Albrecht;Feldweg 20;35500;Juckstadt;06450-753299;;2021-02-06
171;Herr;Georg;Albrecht;Goethestr. 23;35500;Juckstadt;06450-3504;albrecht.g@email.de;2023-05-31
172;Frau;Carolin;Schaefer;Brunnenstr. 45;35501;Oberstadt;06450-911983;schaefer.c@web.de;2022-03-20
173;Herr;Niklas;Albrecht;Pfarrgasse 96;35501;Oberstadt;06450-134485;albrecht.n@email.de;2021-09-16
174;Frau;Zoey;Schneider;Parkstr. 11;35501;Oberstadt;06450-37785;schneider.z@email.de;2019-01-19
175;Herr;Martin;Lange;Buchenweg 56;35501;Oberstadt;06450-8513;lange.m@web.de;2021-08-28
176;Frau;Hannah;Becker;Parkstr. 19;35501;Oberstadt;06450-799517;becker.h@gmx.de;2023-10-23
177;Frau;Verena;Neumann;Tulpenstr. 34;35501;Oberstadt;06450-468491;neumann.v@web.de;2020-03-03
178;Herr;Daniel;Kaiser;Marktplatz 5;35500;Juckstadt;06450-6397;kaiser.d@t-online.de;2019-01-25
179;Frau;Gisela;Stein;Wiesenweg 60;35500;Juckstadt;06450-5112;stein.g@web.de;2022-12-02
180;Herr;Viktor;Bauer;Hauptstr. 59;35501;Oberstadt;06450-997151;bauer.v@t-online.de;2021-10-12
181;Frau;Lea;Zimmermann;Mozartstr. 67;35500;Juckstadt;06450-4462;zimmermann.l@t-online.de;2019-05-05
182;Herr;Tobias;Schmidt;Tulpenstr. 37;35500;Juckstadt;06450-223081;schmidt.t@gmx.de;2024-01-04
183;Frau;Xenia;Schmid;Schulstr. 79;35501;Oberstadt;06450-74544;schmid.x@web.de;2019-10-08
184;Frau;Ute;Klein;Gartenstr. 34;35500;Juckstadt;06450-39424;klein.u@email.de;2019-03-10
185;Frau;Petra;Hoffmann;Parkstr. 37;35501;Oberstadt;06450-5879;;2020-01-09
186;Herr;Oliver;Wagner;Bahnhofstr. 19;35501;Oberstadt;06450-93416;wagner.o@gmx.de;2019-01-27
187;Frau;Xenia;Lehmann;Am Markt 85;35500;Juckstadt;06450-9369;lehmann.x@email.de;2020-05-28
188;Herr;Martin;Frank;Feldweg 88;35501;Oberstadt;06450-23137;frank.m@t-online.de;2022-11-17
189;Herr;Jens;Schmidt;Ahornweg 98;35501;Oberstadt;06450-85982;schmidt.j@email.de;2021-04-02
190;Herr;Wolfgang;Krause;Tulpenstr. 6;35500;Juckstadt;06450-0844;krause.w@t-online.de;2024-03-17
191;Herr;Oliver;Schwarz;Am Markt 25;35501;Oberstadt;06450-180267;schwarz.o@gmx.de;2023-05-30
192;Herr;Christian;Richter;Marktplatz 84;35500;Juckstadt;06450-0991;richter.c@gmx.de;2022-12-01
193;Frau;Yvonne;Klein;Bahnhofstr. 23;35500;Juckstadt;06450-77789;;2021-07-22
194;Frau;Claudia;Frank;Brunnenstr. 18;35500;Juckstadt;06450-6271;frank.c@gmx.de;2025-03-05
195;Herr;Zacharias;Werner;Goethestr. 28;35500;Juckstadt;06450-8071;;2021-01-29
196;Herr;Leon;Zimmermann;Wiesenweg 73;35500;Juckstadt;06450-810561;zimmermann.l@web.de;2021-11-21
197;Herr;Georg;Walter;Schillerstr. 20;35501;Oberstadt;06450-11697;walter.g@gmx.de;2022-08-14
198;Frau;Quirina;Meyer;Bergstr. 12;35500;Juckstadt;06450-8630;meyer.q@web.de;2019-09-13
199;Herr;Paul;Schaefer;Feldweg 58;35500;Juckstadt;06450-253932;schaefer.p@email.de;2024-06-01
200;Herr;Karl;Wolf;Lindenallee 23;35500;Juckstadt;06450-5615;wolf.k@email.de;2019-12-19
201;Herr;Igor;Krueger;Beethovenstr. 74;35466;Rabenau;06407-5843;krueger.i@gmx.de;2023-11-29
202;Herr;N.;Schwarz;Lindenallee 92;35466;Rabenau;06407-0743;schwarz.n@gmx.de;2026-01-05
203;Herr;Claudia;Roth;Schulstr. 87;35466;Allendorf;06407-2892;roth.c@email.de;2022-11-02
204;Herr;Igor;Krueger;Beethovenstr. 74;35466;Rabenau;06407-5843;;2023-09-16
205;Herr;P.;Schaefer;Kirchstr. 76;35466;Allendorf;06407-651578;schaefer.p@email.de;2022-05-26
206;Herr;Maria;Neumann;Schillerstr. 93;35466;Rabenau;06407-90042;neumann.m@web.de;2023-05-31
207;Herr;Stefan;Wagner;Dorfstr.  71;35580;Wetzlar-Buederbach;06450-068799;;2024-06-26
208;Herr;Zoey;Schulez;Auweg  12;35578;Wetzlar;06450-13069;schulze.z@gmx.de;2023-05-26
209;Herr;Manuel;Kleni;Bahnhofstr. 68;35580;Wetzlar-Buederbach;06450-36462;klein.m@email.de;2021-11-09
210;Herr;Stefanie;Schafeer;Brunnenstr. 3;35579;Wetzlar-Niedergirmes;06450-573085;schaefer.s@email.de;2024-06-07
211;Herr;G.;Werner;Parkstr. 98;35579;Wetzlar-Niedergirmes;06450-63528;werner.g@email.de;2020-11-28
212;Herr;Manuel;Schroeder;Tulpenstr.  26;35579;Wetzlar-Niedergirmes;06450-2161;schroeder.m@t-online.de;2023-08-30
213;Herr;Christian;Weber;Schlossstr. 27;35579;Wetzlar-Niedergirmes;06450-832421;weber.c@web.de;2023-04-26
214;Herr;Georg;Koch;Hauptstrasse 79;35580;Wetzlar-Buederbach;06450-0092;koch.g@email.de;2025-05-01
215;Herr;Katrin;Hofmann;Bergstr. 10;35510;Bergblick-Siedlung;06450-643771;;2026-02-27
216;Herr;Yannick;Krause;Am Markt 37;35511;Hoehental;06450-078660;krause.y@email.de;2022-03-07
217;Herr;Wolfgang;Schmidt;Buchenweg 99;35511;Hoehental;06420-96213;schmidt.w@gmx.de;2025-07-24
218;Herr;Robert;Hofmann;Sonnenwall  24;35510;Waldrand;06450-2072;hofmann.r@t-online.de;2020-09-30
219;Herr;Bernd;Wagner;Kapellenweg 81;35511;Hoehental;06450-137810;wagner.b@t-online.de;2026-07-02
220;Herr;Xaver;Schmitt;Lindenallee 82;35510;Bergblick-Siedlung;06450-906967;schmitt.x@gmx.de;2026-09-21
221;Herr;Olivia;Schmid;Lindenallee 4;35511;Hoehental;06450-48829;schmid.o@web.de;2026-07-21
222;Herr;B.;Schaefer;Rosenweg 87;35511;Hoehental;06450-16471;;2023-11-10
223;Herr;Quirin;Kohc;Schillerstr. 58;35510;Waldrand;06450-2225;koch.q@gmx.de;2020-02-06
