nachname|vorname|anrede|plz|ort|strasse|tel|email|erfasst
Schmidt|Tanja|Fr.|35578|Wetzlar|Beethovenstr. 64|0645 0715628|schmidt.t@gmx.de|11.08.2023
Vogel|Jens|Hr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 53|0645 0805493|vogel.j@email.de|25.06.2024
Wolf|Georg|Hr.|35579|Wetzlar-Niedergirmes|Goethestr. 32|0645 047046|wolf.g@gmx.de|22.02.2019
Schneider|Tobias|Hr.|35580|Wetzlar-Buederbach|Mozartstr. 81|0645 046974|schneider.t@gmx.de|16.04.2024
Lehmann|Florian|Hr.|35579|Wetzlar-Niedergirmes|Auweg 3|0645 002647|lehmann.f@gmx.de|26.07.2022
Schmid|Erik|Hr.|35580|Wetzlar-Buederbach|Am Markt 47|0645 04600|schmid.e@gmx.de|10.12.2019
Mueller|Stefanie|Fr.|35579|Wetzlar-Niedergirmes|Eichenweg 47|0645 0216672|mueller.s@gmx.de|20.09.2022
Werner|Stefan|Hr.|35578|Wetzlar|Mozartstr. 41|0645 023000|werner.s@t-online.de|29.11.2024
Klein|Maria|Fr.|35579|Wetzlar-Niedergirmes|Bahnhofstr. 60|0645 0785868|klein.m@gmx.de|04.10.2022
Vogel|Zacharias|Hr.|35579|Wetzlar-Niedergirmes|Beethovenstr. 19|0645 038841|vogel.z@web.de|27.11.2021
Schmitt|Tanja|Fr.|35580|Wetzlar-Buederbach|Auweg 29|0645 0581930|schmitt.t@t-online.de|20.06.2021
Weber|Yannick|Hr.|35580|Wetzlar-Buederbach|Schillerstr. 99|0645 0022511|weber.y@t-online.de|03.12.2023
Werner|Claudia|Fr.|35578|Wetzlar|Ahornweg 46|0645 0630661|werner.c@t-online.de|22.12.2020
Wolf|Ines|Fr.|35580|Wetzlar-Buederbach|Bahnhofstr. 70|0645 08878|wolf.i@gmx.de|03.03.2019
Becker|Petra|Fr.|35578|Wetzlar|Tulpenstr. 97|0645 09954|becker.p@web.de|23.08.2020
Schwarz|Martin|Hr.|35580|Wetzlar-Buederbach|Rosenweg 27|0645 07149|schwarz.m@email.de|21.12.2024
Frank|Franziska|Fr.|35579|Wetzlar-Niedergirmes|Dorfstr. 2|0645 009857|frank.f@web.de|01.10.2019
Kaiser|Diana|Fr.|35578|Wetzlar|Pfarrgasse 53|0645 07374|kaiser.d@t-online.de|18.10.2023
Klein|Zacharias|Hr.|35579|Wetzlar-Niedergirmes|Talstr. 26|0645 028834|klein.z@t-online.de|26.02.2019
Wolf|Ute|Fr.|35579|Wetzlar-Niedergirmes|Mozartstr. 16|0645 086485|wolf.u@email.de|09.08.2024
Becker|Gisela|Fr.|35578|Wetzlar|Mozartstr. 9|0645 05022|becker.g@email.de|06.05.2023
Schmid|Quirina|Fr.|35580|Wetzlar-Buederbach|Am Markt 9|0645 057212|schmid.q@web.de|23.10.2019
Stein|Anna|Fr.|35578|Wetzlar|Wiesenweg 26|0645 04799|stein.a@email.de|28.09.2022
Lange|Niklas|Hr.|35580|Wetzlar-Buederbach|Feldweg 65|0645 08721|lange.n@email.de|09.09.2019
Krueger|Hannah|Fr.|35578|Wetzlar|Talstr. 70|0645 0355592|krueger.h@web.de|27.07.2020
Lehmann|Gisela|Fr.|35580|Wetzlar-Buederbach|Schillerstr. 23|0645 01671|lehmann.g@email.de|09.05.2019
Schaefer|Stefanie|Fr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 3|0645 0573085|schaefer.s@email.de|28.10.2022
Hofmann|Felix|Hr.|35578|Wetzlar|Mozartstr. 33|0645 0306531|hofmann.f@t-online.de|14.02.2025
Richter|Diana|Fr.|35579|Wetzlar-Niedergirmes|Lindenallee 77|0645 035419|richter.d@gmx.de|02.05.2023
Meyer|Rita|Fr.|35579|Wetzlar-Niedergirmes|Eichenweg 32|0645 0922240|meyer.r@gmx.de|22.08.2022
Becker|Nora|Fr.|35580|Wetzlar-Buederbach|Beethovenstr. 28|0645 0756954|becker.n@email.de|08.04.2020
Frank|Paul|Hr.|35579|Wetzlar-Niedergirmes|Mozartstr. 26|0645 03330|frank.p@email.de|06.05.2023
Schroeder|Carolin|Fr.|35580|Wetzlar-Buederbach|Beethovenstr. 82|0645 080251|schroeder.c@t-online.de|02.04.2021
Schulze|Christian|Hr.|35579|Wetzlar-Niedergirmes|Schillerstr. 64|0645 078457|schulze.c@email.de|08.08.2022
Zimmermann|Gisela|Fr.|35580|Wetzlar-Buederbach|Feldweg 36|0645 08518|zimmermann.g@web.de|16.12.2021
Peters|Bettina|Fr.|35579|Wetzlar-Niedergirmes|Auweg 23|0645 03841|peters.b@t-online.de|06.10.2021
Becker|Hannah|Fr.|35580|Wetzlar-Buederbach|Sonnenwall 9|0645 024886|becker.h@t-online.de|03.04.2020
Mueller|Petra|Fr.|35578|Wetzlar|Mozartstr. 73|0645 013586|mueller.p@email.de|19.11.2022
Bauer|Felix|Hr.|35578|Wetzlar|Schillerstr. 67|0645 0331788|bauer.f@t-online.de|23.04.2022
Schneider|Xenia|Fr.|35578|Wetzlar|Buchenweg 19|0645 08582|schneider.x@web.de|29.09.2020
Schmitt|Christian|Hr.|35580|Wetzlar-Buederbach|Goethestr. 15|0645 0654058|schmitt.c@email.de|27.08.2021
Lange|Stefan|Hr.|35580|Wetzlar-Buederbach|Schulstr. 98|0645 061173|lange.s@email.de|25.09.2024
Roth|Lea|Fr.|35578|Wetzlar|Schillerstr. 25|0645 0611440|roth.l@t-online.de|07.01.2022
Braun|Georg|Hr.|35579|Wetzlar-Niedergirmes|Goethestr. 9|0645 0879798|braun.g@web.de|18.01.2020
Schwarz|Stefan|Hr.|35580|Wetzlar-Buederbach|Mozartstr. 72|0645 00294|schwarz.s@email.de|30.04.2019
Roth|Wiebke|Fr.|35580|Wetzlar-Buederbach|Talstr. 96|0645 02330||14.01.2022
Braun|Ulrich|Hr.|35579|Wetzlar-Niedergirmes|Eichenweg 4|0645 0044133|braun.u@t-online.de|09.09.2024
Schneider|Quirina|Fr.|35578|Wetzlar|Auweg 50|0645 0996208|schneider.q@gmx.de|22.03.2019
Hofmann|Olivia|Fr.|35578|Wetzlar|Eichenweg 87|0645 09230|hofmann.o@t-online.de|19.09.2022
Kaiser|Ute|Fr.|35579|Wetzlar-Niedergirmes|Goethestr. 39|0645 064908||01.10.2019
Wagner|Lea|Fr.|35578|Wetzlar|Wiesenweg 81|0645 075072|wagner.l@gmx.de|18.09.2019
Hartmann|Stefanie|Fr.|35580|Wetzlar-Buederbach|Mondbach 85|0645 089120|hartmann.s@gmx.de|04.03.2021
Fischer|Lukas|Hr.|35580|Wetzlar-Buederbach|Kapellenweg 43|0645 0184862|fischer.l@email.de|02.02.2019
Wolf|Lukas|Hr.|35578|Wetzlar|Ahornweg 6|0645 004985|wolf.l@web.de|14.02.2024
Neumann|Nora|Fr.|35579|Wetzlar-Niedergirmes|Wiesenweg 96|0645 005604|neumann.n@web.de|19.12.2024
Schneider|Carolin|Fr.|35579|Wetzlar-Niedergirmes|Am Markt 7|0645 093087|schneider.c@web.de|24.11.2019
Roth|Tobias|Hr.|35578|Wetzlar|Hauptstr. 14|0645 03165|roth.t@email.de|19.08.2021
Albrecht|Yannick|Hr.|35578|Wetzlar|Kapellenweg 26|0645 008707|albrecht.y@t-online.de|19.05.2020
Walter|Robert|Hr.|35579|Wetzlar-Niedergirmes|Buchenweg 68|0645 0719460|walter.r@email.de|19.09.2023
Werner|Petra|Fr.|35578|Wetzlar|Wiesenweg 89|0645 0005562|werner.p@email.de|28.06.2024
Braun|Yvonne|Fr.|35578|Wetzlar|Wiesenweg 6|0645 029198|braun.y@t-online.de|26.05.2023
Wagner|Zoey|Fr.|35579|Wetzlar-Niedergirmes|Pfarrgasse 85|0645 0670908|wagner.z@gmx.de|03.10.2020
Koch|Katrin|Fr.|35579|Wetzlar-Niedergirmes|Dorfstr. 8|0645 029501|koch.k@email.de|05.12.2020
Meyer|Igor|Hr.|35579|Wetzlar-Niedergirmes|Goethestr. 33|0645 02369|meyer.i@web.de|08.02.2024
Wagner|Julia|Fr.|35578|Wetzlar|Rosenweg 34|0645 0076533|wagner.j@web.de|13.10.2024
Peters|Xenia|Fr.|35580|Wetzlar-Buederbach|Parkstr. 7|0645 035645|peters.x@t-online.de|28.09.2020
Becker|Verena|Fr.|35578|Wetzlar|Parkstr. 82|0645 0150235|becker.v@web.de|04.10.2022
Stein|Zacharias|Hr.|35580|Wetzlar-Buederbach|Talstr. 91|0645 0953546|stein.z@t-online.de|02.08.2022
Schmidt|Katrin|Fr.|35578|Wetzlar|Mondbach 64|0645 05762|schmidt.k@t-online.de|01.02.2020
Weber|Franziska|Fr.|35580|Wetzlar-Buederbach|Bahnhofstr. 6|0645 09402|weber.f@email.de|16.09.2023
Becker|Lisa|Fr.|35578|Wetzlar|Marktplatz 44|0645 054013|becker.l@email.de|26.08.2021
Krueger|Xaver|Hr.|35580|Wetzlar-Buederbach|Feldweg 14|0645 007034|krueger.x@gmx.de|24.11.2023
Hofmann|Stefanie|Fr.|35578|Wetzlar|Dorfstr. 72|0645 004541|hofmann.s@t-online.de|07.01.2022
Koch|Lisa|Fr.|35579|Wetzlar-Niedergirmes|Buchenweg 37|0645 076080|koch.l@web.de|09.01.2019
Peters|Anna|Fr.|35578|Wetzlar|Tulpenstr. 61|0645 008360||17.10.2019
Schulze|Viktor|Hr.|35580|Wetzlar-Buederbach|Ahornweg 59|0645 0343449|schulze.v@web.de|19.07.2023
Koch|Zacharias|Hr.|35578|Wetzlar|Wiesenweg 25|0645 05106|koch.z@email.de|14.04.2022
Hoffmann|Leon|Hr.|35580|Wetzlar-Buederbach|Gartenstr. 80|0645 0537265|hoffmann.l@gmx.de|11.03.2019
Mueller|Christian|Hr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 60|0645 087444|mueller.c@gmx.de|22.07.2023
Weber|Katrin|Fr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 84|0645 05019|weber.k@email.de|20.11.2024
Lehmann|Petra|Fr.|35580|Wetzlar-Buederbach|Gartenstr. 50|0645 08614||27.07.2021
Schulze|Petra|Fr.|35580|Wetzlar-Buederbach|Schlossstr. 20|0645 007020|schulze.p@t-online.de|21.05.2020
Lange|Daniel|Hr.|35580|Wetzlar-Buederbach|Bahnhofstr. 8|0645 01956|lange.d@email.de|31.07.2019
Werner|Quirina|Fr.|35578|Wetzlar|Kapellenweg 3|0645 039312|werner.q@web.de|09.07.2024
Lehmann|Quirin|Hr.|35580|Wetzlar-Buederbach|Hauptstr. 64|0645 0924532|lehmann.q@gmx.de|05.02.2025
Schmid|Anna|Fr.|35580|Wetzlar-Buederbach|Rosenweg 89|0645 09110|schmid.a@email.de|13.02.2024
Krueger|Wiebke|Fr.|35580|Wetzlar-Buederbach|Buchenweg 71|0645 0091138|krueger.w@t-online.de|23.12.2020
Hoffmann|Xenia|Fr.|35579|Wetzlar-Niedergirmes|Dorfstr. 16|0645 006864|hoffmann.x@email.de|17.11.2020
Vogel|Maria|Fr.|35579|Wetzlar-Niedergirmes|Schillerstr. 75|0645 07148|vogel.m@gmx.de|27.04.2023
Koch|Georg|Hr.|35580|Wetzlar-Buederbach|Hauptstr. 79|0645 00022|koch.g@email.de|15.05.2024
Schneider|Maria|Fr.|35579|Wetzlar-Niedergirmes|Schulstr. 4|0645 09345|schneider.m@t-online.de|28.12.2022
Werner|Gisela|Fr.|35579|Wetzlar-Niedergirmes|Parkstr. 98|0645 063528|werner.g@email.de|07.09.2020
Peters|Verena|Fr.|35580|Wetzlar-Buederbach|Schulstr. 6|0645 01479|peters.v@email.de|07.04.2023
Hoffmann|Diana|Fr.|35578|Wetzlar|Kapellenweg 68|0645 02684|hoffmann.d@t-online.de|20.02.2025
Schulze|Quirina|Fr.|35578|Wetzlar|Bergstr. 14|0645 08580|schulze.q@email.de|05.10.2019
Wagner|Stefan|Hr.|35580|Wetzlar-Buederbach|Dorfstr. 71|0645 0068799||24.08.2022
Bauer|Elke|Fr.|35580|Wetzlar-Buederbach|Bergstr. 46|0645 000393|bauer.e@gmx.de|18.07.2022
Schulze|Sabine|Fr.|35578|Wetzlar|Marktplatz 64|0645 0382268|schulze.s@email.de|02.03.2024
Schneider|Lea|Fr.|35579|Wetzlar-Niedergirmes|Lindenallee 6|0645 02354|schneider.l@email.de|22.01.2021
Kaiser|Carolin|Fr.|35580|Wetzlar-Buederbach|Brunnenstr. 80|0645 086208||24.06.2023
Koch|Yvonne|Fr.|35580|Wetzlar-Buederbach|Schulstr. 97|0645 044098|koch.y@gmx.de|03.11.2019
Zimmermann|Olivia|Fr.|35580|Wetzlar-Buederbach|Am Markt 16|0645 092982|zimmermann.o@t-online.de|16.02.2022
Hoffmann|Leon|Hr.|35578|Wetzlar|Kapellenweg 39|0645 06301|hoffmann.l@email.de|21.04.2020
Krueger|Rita|Fr.|35579|Wetzlar-Niedergirmes|Kapellenweg 4|0645 0349229|krueger.r@email.de|18.01.2020
Walter|Wiebke|Fr.|35580|Wetzlar-Buederbach|Mondbach 98|0645 077543|walter.w@web.de|19.08.2019
Krueger|Anna|Fr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 79|0645 0491502||22.04.2022
Hoffmann|Bernd|Hr.|35578|Wetzlar|Kirchstr. 35|0645 0748575|hoffmann.b@email.de|21.05.2019
Frank|Diana|Fr.|35580|Wetzlar-Buederbach|Gartenstr. 40|0645 064999|frank.d@web.de|22.03.2019
Werner|Xaver|Hr.|35578|Wetzlar|Buchenweg 67|0645 059932||07.01.2020
Krause|Lea|Fr.|35579|Wetzlar-Niedergirmes|Kirchstr. 78|0645 03650|krause.l@gmx.de|03.06.2019
Stein|Karl|Hr.|35579|Wetzlar-Niedergirmes|Mozartstr. 96|0645 01456|stein.k@web.de|24.01.2021
Albrecht|Wolfgang|Hr.|35579|Wetzlar-Niedergirmes|Ahornweg 85|0645 0317923|albrecht.w@t-online.de|11.05.2023
Schneider|Tobias|Hr.|35580|Wetzlar-Buederbach|Gartenstr. 96|0645 05872|schneider.t@email.de|07.09.2023
Schaefer|Hannah|Fr.|35579|Wetzlar-Niedergirmes|Brunnenstr. 69|0645 053521|schaefer.h@web.de|24.03.2021
Hartmann|Georg|Hr.|35580|Wetzlar-Buederbach|Schlossstr. 15|0645 082059|hartmann.g@t-online.de|19.04.2025
Schmitt|Zacharias|Hr.|35578|Wetzlar|Wiesenweg 78|0645 023245|schmitt.z@email.de|23.08.2019
Hofmann|Manuel|Hr.|35578|Wetzlar|Ahornweg 37|0645 00503|hofmann.m@t-online.de|12.11.2020
Braun|Jens|Hr.|35580|Wetzlar-Buederbach|Wiesenweg 22|0645 066750|braun.j@email.de|09.03.2019
Albrecht|Stefan|Hr.|35580|Wetzlar-Buederbach|Buchenweg 5|0645 056374|albrecht.s@gmx.de|04.01.2024
Schwarz|Rita|Fr.|35580|Wetzlar-Buederbach|Dorfstr. 6|0645 08062|schwarz.r@email.de|17.01.2019
Klein|Manuel|Hr.|35580|Wetzlar-Buederbach|Bahnhofstr. 68|0645 036462|klein.m@email.de|17.09.2021
Zimmermann|Diana|Fr.|35579|Wetzlar-Niedergirmes|Hauptstr. 75|0645 042761|zimmermann.d@t-online.de|27.02.2022
Walter|Franziska|Fr.|35578|Wetzlar|Kirchstr. 89|0645 0839695|walter.f@web.de|09.07.2022
Fischer|Gisela|Fr.|35579|Wetzlar-Niedergirmes|Schillerstr. 62|0645 03688|fischer.g@gmx.de|26.11.2024
Albrecht|Bettina|Fr.|35578|Wetzlar|Ahornweg 75|0645 073146|albrecht.b@web.de|08.01.2020
Werner|Bettina|Fr.|35580|Wetzlar-Buederbach|Buchenweg 65|0645 05127|werner.b@t-online.de|31.05.2021
Lehmann|Ute|Fr.|35579|Wetzlar-Niedergirmes|Schillerstr. 24|0645 0518903|lehmann.u@email.de|26.07.2023
Koch|Hannes|Hr.|35580|Wetzlar-Buederbach|Goethestr. 35|0645 0128607|koch.h@gmx.de|28.03.2020
Fischer|Hannes|Hr.|35580|Wetzlar-Buederbach|Marktplatz 21|0645 0376030|fischer.h@t-online.de|26.08.2024
Becker|Verena|Fr.|35580|Wetzlar-Buederbach|Talstr. 68|0645 07914|becker.v@email.de|08.04.2022
Lehmann|Elke|Fr.|35578|Wetzlar|Ahornweg 31|0645 0558692|lehmann.e@gmx.de|17.08.2020
Wolf|Verena|Fr.|35580|Wetzlar-Buederbach|Ahornweg 18|0645 0828461|wolf.v@gmx.de|25.05.2020
Schaefer|Franziska|Fr.|35580|Wetzlar-Buederbach|Schulstr. 48|0645 064227|schaefer.f@t-online.de|07.03.2024
Weber|Claudia|Fr.|35580|Wetzlar-Buederbach|Dorfstr. 37|0645 0085949|weber.c@web.de|14.06.2019
Neumann|Nora|Fr.|35580|Wetzlar-Buederbach|Feldweg 44|0645 086428|neumann.n@t-online.de|23.02.2020
Zimmermann|Maria|Fr.|35578|Wetzlar|Tulpenstr. 23|0645 0102025|zimmermann.m@web.de|05.08.2022
Walter|Jens|Hr.|35579|Wetzlar-Niedergirmes|Goethestr. 35|0645 00660|walter.j@email.de|08.10.2020
Frank|Robert|Hr.|35580|Wetzlar-Buederbach|Buchenweg 13|0645 0009024|frank.r@gmx.de|29.06.2020
Wolf|Verena|Fr.|35580|Wetzlar-Buederbach|Eichenweg 1|0645 049597||14.06.2022
Peters|Hannes|Hr.|35579|Wetzlar-Niedergirmes|Bahnhofstr. 94|0645 00608|peters.h@web.de|06.12.2019
Albrecht|Stefan|Hr.|35578|Wetzlar|Kapellenweg 27|0645 03677|albrecht.s@gmx.de|07.06.2022
Mueller|Paul|Hr.|35579|Wetzlar-Niedergirmes|Schlossstr. 59|0645 0101997|mueller.p@web.de|31.05.2020
Lange|Felix|Hr.|35579|Wetzlar-Niedergirmes|Hauptstr. 42|0645 04661|lange.f@web.de|21.06.2023
Schneider|Karl|Hr.|35578|Wetzlar|Brunnenstr. 59|0645 0309441|schneider.k@t-online.de|11.08.2021
Hofmann|Manuel|Hr.|35579|Wetzlar-Niedergirmes|Eichenweg 73|0645 0716116|hofmann.m@gmx.de|01.01.2024
Schaefer|Stefanie|Fr.|35580|Wetzlar-Buederbach|Beethovenstr. 20|0645 08396|schaefer.s@t-online.de|22.03.2023
Stein|Martin|Hr.|35500|Juckstadt|Buchenweg 48|0645 0953042|stein.m@email.de|08.01.2026
Schmidt|Jens|Hr.|35501|Oberstadt|Ahornweg  98|0605 085982|schmidt.j@email.de|05.05.2021
Walter|B.|Hr.|35500|Juckstadt|Schillerstr. 60|0645 05318|walter.b@t-online.de|23.03.2026
Albrecht|Georg|Hr.|35500|Juckstadt|Goethestr. 23|0645 03504||14.03.2024
Branu|Xaver|Hr.|35501|Oberstadt|Kirchstrasse 60|0645 01817|braun.x@t-online.de|18.11.2020
Schneider|E.|Hr.|35500|Juckstadt|Feldweg 57|0645 01508|schneider.e@gmx.de|15.03.2020
Schroeder|Karl|Hr.|35501|Oberstadt|Buchenweg 8|0645 08503||31.12.2025
Albrecht|Xaver|Hr.|35500|Juckstadt|Kapellenweg 24|0645 01918|albrecht.x@t-online.de|16.11.2024
Mueller|Carolin|Hr.|35500|Juckstadt|Rosenweg  9|0645 024337|mueller.c@email.de|16.08.2022
Schneider|Stefanie|Hr.|35500|Juckstadt|Goethestr. 21|0645 097255|schneider.s@web.de|14.02.2020
Lehmann|Felix|Hr.|35500|Juckstadt|Goethestr. 45|0645 03569|lehmann.f@gmx.de|12.10.2025
Muleler|Igor|Hr.|35500|Juckstadt|Parkstr. 49|0645 0264569|mueller.i@web.de|21.08.2025
Branu|Xaver|Hr.|35466|Allendorf|Kapellenweg 59|0640 7332906||07.08.2020
Kaiser|K.|Hr.|35466|Allendorf|Sonnenwall 43|0640 746588||30.11.2025
Bauer|Stefan|Hr.|35466|Allendorf|Schlossstr. 62|0640 725017|bauer.s@email.de|01.02.2022
Fischre|Manuel|Hr.|35466|Allendorf|Schillerstr. 84|0640 7780527|fischer.m@email.de|15.08.2025
Albrecht|Hannes|Hr.|35466|Allendorf|Goethestr. 11|0640 703055||23.08.2020
Lehmann|Nora|Hr.|35466|Londorf|Brunnenstr. 3|0640 7439852|lehmann.n@email.de|19.05.2021
Roth|Yvonne|Hr.|35466|Rabenau|Mozartstr. 27|0640 7816583|roth.y@t-online.de|29.12.2021
Rtoh|Paul|Hr.|35466|Allendorf|Schlossstr. 94|0640 7334172|roth.p@email.de|08.11.2023
Weber|X.|Hr.|35466|Londorf|Eichenweg 55|0640 7194903|weber.x@email.de|13.01.2023
Koch|Ulrich|Hr.|35466|Rabenau|Wiesenweg 58|0640 00796|koch.u@gmx.de|18.02.2023
Wofl|Hannah|Hr.|35511|Hoehental|Marktplatz  83|0645 0526682|wolf.h@gmx.de|01.02.2021
Schneider|Claudia|Hr.|35510|Waldrand|sonnenwall 50|0645 0431860|schneider.c@email.de|14.09.2021
Frank|Christian|Hr.|35511|Hoehental|Auweg 18|0645 085244||08.08.2026
Hoffmann|Sabine|Hr.|35510|Bergblick-Siedlung|Mozartstr. 82|0645 0978203|hoffmann.s@web.de|28.08.2023
